HUD frame time nsec:,16438000

Range Index,Elapsed Time, First Event,Last Event
0,29792,1,1
1,69120,17,17
2,704,47,47
3,736,58,58
4,704,75,75
5,736,86,86
6,736,103,103
7,736,114,114
8,960,131,131
9,736,142,142
10,736,159,159
11,736,170,170
12,672,187,187
13,704,198,198
14,704,215,215
15,704,226,226
16,736,243,243
17,736,254,254
18,736,271,271
19,736,282,282
20,704,299,299
21,736,310,310
22,736,327,327
23,704,338,338
24,736,355,355
25,704,366,366
26,35744,383,383
27,5440,400,400
28,7776,421,421
29,15084064,436,436
